성별	나이	계절(기온)	확률
0	2.5	13.2	2.54E-07
0	2.5	24.8	2.03E-07
0	2.5	15.1	3.30E-07
0	2.5	1.6	2.28E-07
0	7.5	13.2	7.10E-07
0	7.5	24.8	2.43E-06
0	7.5	15.1	8.62E-07
0	7.5	1.6	2.54E-07
0	12.5	13.2	3.91E-06
0	12.5	24.8	5.68E-06
0	12.5	15.1	4.08E-06
0	12.5	1.6	3.50E-06
0	17.5	13.2	4.55E-05
0	17.5	24.8	5.50E-05
0	17.5	15.1	4.43E-05
0	17.5	1.6	4.07E-05
0	22.5	13.2	0.000157215
0	22.5	24.8	0.000158533
0	22.5	15.1	0.000155668
0	22.5	1.6	0.000165684
0	27.5	13.2	0.000373511
0	27.5	24.8	0.000372801
0	27.5	15.1	0.000387331
0	27.5	1.6	0.00041246
0	32.5	13.2	0.000992607
0	32.5	24.8	0.000975846
0	32.5	15.1	0.000987231
0	32.5	1.6	0.001057369
0	37.5	13.2	0.003090661
0	37.5	24.8	0.003026229
0	37.5	15.1	0.003047047
0	37.5	1.6	0.0031502
0	42.5	13.2	0.006053421
0	42.5	24.8	0.005886241
0	42.5	15.1	0.005946337
0	42.5	1.6	0.006215225
0	47.5	13.2	0.011196011
0	47.5	24.8	0.010978167
0	47.5	15.1	0.010980754
0	47.5	1.6	0.011274339
0	52.5	13.2	0.014969389
0	52.5	24.8	0.014712293
0	52.5	15.1	0.014769169
0	52.5	1.6	0.015068079
0	57.5	13.2	0.019557975
0	57.5	24.8	0.019098174
0	57.5	15.1	0.019011756
0	57.5	1.6	0.019222094
0	62.5	13.2	0.01974785
0	62.5	24.8	0.019427589
0	62.5	15.1	0.019603999
0	62.5	1.6	0.020086115
0	67.5	13.2	0.015109868
0	67.5	24.8	0.014959043
0	67.5	15.1	0.015092625
0	67.5	1.6	0.015550956
0	72.5	13.2	0.012072482
0	72.5	24.8	0.011898785
0	72.5	15.1	0.012011625
0	72.5	1.6	0.012303182
0	77.5	13.2	0.010090057
0	77.5	24.8	0.009845943
0	77.5	15.1	0.009792668
0	77.5	1.6	0.00979708
0	80	13.2	0.008251204
0	80	24.8	0.008189916
0	80	15.1	0.008336354
0	80	1.6	0.008537157
1	2.5	13.2	1.78E-07
1	2.5	24.8	2.54E-07
1	2.5	15.1	1.52E-07
1	2.5	1.6	1.01E-07
1	7.5	13.2	8.11E-07
1	7.5	24.8	1.67E-06
1	7.5	15.1	8.88E-07
1	7.5	1.6	3.04E-07
1	12.5	13.2	1.90E-06
1	12.5	24.8	3.30E-06
1	12.5	15.1	2.23E-06
1	12.5	1.6	1.72E-06
1	17.5	13.2	5.63E-06
1	17.5	24.8	6.64E-06
1	17.5	15.1	7.02E-06
1	17.5	1.6	5.91E-06
1	22.5	13.2	2.47E-05
1	22.5	24.8	2.49E-05
1	22.5	15.1	2.76E-05
1	22.5	1.6	3.10E-05
1	27.5	13.2	8.31E-05
1	27.5	24.8	8.35E-05
1	27.5	15.1	8.71E-05
1	27.5	1.6	9.66E-05
1	32.5	13.2	0.000245508
1	32.5	24.8	0.000243201
1	32.5	15.1	0.000252837
1	32.5	1.6	0.000271246
1	37.5	13.2	0.000862778
1	37.5	24.8	0.000849086
1	37.5	15.1	0.00087211
1	37.5	1.6	0.000907838
1	42.5	13.2	0.002343664
1	42.5	24.8	0.00228022
1	42.5	15.1	0.002300861
1	42.5	1.6	0.002392071
1	47.5	13.2	0.006096934
1	47.5	24.8	0.005939694
1	47.5	15.1	0.005906324
1	47.5	1.6	0.006007347
1	52.5	13.2	0.0115431
1	52.5	24.8	0.011348661
1	52.5	15.1	0.01130459
1	52.5	1.6	0.011435028
1	57.5	13.2	0.017234598
1	57.5	24.8	0.016843311
1	57.5	15.1	0.016677602
1	57.5	1.6	0.016698014
1	62.5	13.2	0.019603973
1	62.5	24.8	0.019294413
1	62.5	15.1	0.019414581
1	62.5	1.6	0.019838325
1	67.5	13.2	0.017881916
1	67.5	24.8	0.017646348
1	67.5	15.1	0.017712302
1	67.5	1.6	0.018110638
1	72.5	13.2	0.017192809
1	72.5	24.8	0.016930108
1	72.5	15.1	0.017046954
1	72.5	1.6	0.017312647
1	77.5	13.2	0.017075101
1	77.5	24.8	0.016757984
1	77.5	15.1	0.016699764
1	77.5	1.6	0.016632694
1	80	13.2	0.01985719
1	80	24.8	0.019804878
1	80	15.1	0.01997855
1	80	1.6	0.020193782
