성별	나이	계절(기온)	확률
0	2.5	13.2	0.001161972
0	2.5	24.8	0.001021127
0	2.5	15.1	0.000739437
0	2.5	1.6	0.000985915
0	7.5	13.2	0.001549296
0	7.5	24.8	0.001690141
0	7.5	15.1	0.001408451
0	7.5	1.6	0.001267606
0	12.5	13.2	0.003943662
0	12.5	24.8	0.00415493
0	12.5	15.1	0.002957746
0	12.5	1.6	0.003380282
0	17.5	13.2	0.003802817
0	17.5	24.8	0.003415493
0	17.5	15.1	0.002253521
0	17.5	1.6	0.002711268
0	22.5	13.2	0.003802817
0	22.5	24.8	0.003274648
0	22.5	15.1	0.002183099
0	22.5	1.6	0.002676056
0	27.5	13.2	0.003802817
0	27.5	24.8	0.003978873
0	27.5	15.1	0.004225352
0	27.5	1.6	0.004084507
0	32.5	13.2	0.004260563
0	32.5	24.8	0.004577465
0	32.5	15.1	0.004577465
0	32.5	1.6	0.003450704
0	37.5	13.2	0.006866197
0	37.5	24.8	0.006126761
0	37.5	15.1	0.006021127
0	37.5	1.6	0.005739437
0	42.5	13.2	0.007640845
0	42.5	24.8	0.006830986
0	42.5	15.1	0.006021127
0	42.5	1.6	0.00693662
0	47.5	13.2	0.009260563
0	47.5	24.8	0.009823944
0	47.5	15.1	0.00943662
0	47.5	1.6	0.009577465
0	52.5	13.2	0.013591549
0	52.5	24.8	0.01306338
0	52.5	15.1	0.011971831
0	52.5	1.6	0.011267606
0	57.5	13.2	0.016021127
0	57.5	24.8	0.016408451
0	57.5	15.1	0.017288732
0	57.5	1.6	0.017007042
0	62.5	13.2	0.021514085
0	62.5	24.8	0.019929577
0	62.5	15.1	0.022183099
0	62.5	1.6	0.019894366
0	67.5	13.2	0.019401408
0	67.5	24.8	0.018098592
0	67.5	15.1	0.018978873
0	67.5	1.6	0.020176056
0	72.5	13.2	0.016056338
0	72.5	24.8	0.01693662
0	72.5	15.1	0.018521127
0	72.5	1.6	0.018028169
0	77.5	13.2	0.013697183
0	77.5	24.8	0.013204225
0	77.5	15.1	0.014295775
0	77.5	1.6	0.012676056
0	80	13.2	0.011901408
0	80	24.8	0.012077465
0	80	15.1	0.011971831
0	80	1.6	0.01221831
1	2.5	13.2	0.001021127
1	2.5	24.8	0.00084507
1	2.5	15.1	0.001161972
1	2.5	1.6	0.000739437
1	7.5	13.2	0.001091549
1	7.5	24.8	0.001056338
1	7.5	15.1	0.001478873
1	7.5	1.6	0.001126761
1	12.5	13.2	0.001584507
1	12.5	24.8	0.002042254
1	12.5	15.1	0.002253521
1	12.5	1.6	0.002253521
1	17.5	13.2	0.001373239
1	17.5	24.8	0.001197183
1	17.5	15.1	0.001302817
1	17.5	1.6	0.001901408
1	22.5	13.2	0.001514085
1	22.5	24.8	0.001373239
1	22.5	15.1	0.000809859
1	22.5	1.6	0.001338028
1	27.5	13.2	0.002183099
1	27.5	24.8	0.002394366
1	27.5	15.1	0.001725352
1	27.5	1.6	0.001478873
1	32.5	13.2	0.001901408
1	32.5	24.8	0.001690141
1	32.5	15.1	0.002007042
1	32.5	1.6	0.001338028
1	37.5	13.2	0.002535211
1	37.5	24.8	0.00221831
1	37.5	15.1	0.002570423
1	37.5	1.6	0.002077465
1	42.5	13.2	0.002535211
1	42.5	24.8	0.002464789
1	42.5	15.1	0.002992958
1	42.5	1.6	0.002922535
1	47.5	13.2	0.00443662
1	47.5	24.8	0.00471831
1	47.5	15.1	0.004612676
1	47.5	1.6	0.00443662
1	52.5	13.2	0.006725352
1	52.5	24.8	0.006443662
1	52.5	15.1	0.006232394
1	52.5	1.6	0.005809859
1	57.5	13.2	0.009471831
1	57.5	24.8	0.008732394
1	57.5	15.1	0.009260563
1	57.5	1.6	0.008521127
1	62.5	13.2	0.010070423
1	62.5	24.8	0.010528169
1	62.5	15.1	0.011373239
1	62.5	1.6	0.00915493
1	67.5	13.2	0.009366197
1	67.5	24.8	0.009295775
1	67.5	15.1	0.010387324
1	67.5	1.6	0.009612676
1	72.5	13.2	0.011021127
1	72.5	24.8	0.011830986
1	72.5	15.1	0.011619718
1	72.5	1.6	0.012288732
1	77.5	13.2	0.011619718
1	77.5	24.8	0.011302817
1	77.5	15.1	0.01165493
1	77.5	1.6	0.012464789
1	80	13.2	0.016690141
1	80	24.8	0.01665493
1	80	15.1	0.017429577
1	80	1.6	0.016866197
