"성별"	"나이"	"계절(기온)"	"확률"
0	2.5	13.2	5.1771E-05
0	2.5	24.8	4.44793E-05
0	2.5	15.1	4.15627E-05
0	2.5	1.6	4.52085E-05
0	7.5	13.2	5.1771E-05
0	7.5	24.8	5.61461E-05
0	7.5	15.1	4.59377E-05
0	7.5	1.6	5.10419E-05
0	12.5	13.2	8.82295E-05
0	12.5	24.8	0.000138542
0	12.5	15.1	0.000118855
0	12.5	1.6	0.000116667
0	17.5	13.2	0.000369689
0	17.5	24.8	0.000465939
0	17.5	15.1	0.000334689
0	17.5	1.6	0.000405418
0	22.5	13.2	0.001204588
0	22.5	24.8	0.001272401
0	22.5	15.1	0.001100317
0	22.5	1.6	0.001108338
0	27.5	13.2	0.002446364
0	27.5	24.8	0.002455843
0	27.5	15.1	0.002316572
0	27.5	1.6	0.002299072
0	32.5	13.2	0.006265025
0	32.5	24.8	0.005969712
0	32.5	15.1	0.005543148
0	32.5	1.6	0.005290855
0	37.5	13.2	0.015925065
0	37.5	24.8	0.015650897
0	37.5	15.1	0.01513902
0	37.5	1.6	0.01476131
0	42.5	13.2	0.018016921
0	42.5	24.8	0.018574758
0	42.5	15.1	0.017792068
0	42.5	1.6	0.018216711
0	47.5	13.2	0.023218627
0	47.5	24.8	0.023676211
0	47.5	15.1	0.022671531
0	47.5	1.6	0.022753882
0	52.5	13.2	0.023307423
0	52.5	24.8	0.023689101
0	52.5	15.1	0.023320312
0	52.5	1.6	0.023296681
0	57.5	13.2	0.022274815
0	57.5	24.8	0.022541202
0	57.5	15.1	0.022085767
0	57.5	1.6	0.021447011
0	62.5	13.2	0.016427909
0	62.5	24.8	0.016729385
0	62.5	15.1	0.016711482
0	62.5	1.6	0.016725804
0	67.5	13.2	0.008368273
0	67.5	24.8	0.00836326
0	67.5	15.1	0.008527246
0	67.5	1.6	0.008380446
0	72.5	13.2	0.005011941
0	72.5	24.8	0.004849388
0	72.5	15.1	0.004964679
0	72.5	1.6	0.004660339
0	77.5	13.2	0.002446893
0	77.5	24.8	0.002415385
0	77.5	15.1	0.002426842
0	77.5	1.6	0.002355949
0	80	13.2	0.001212347
0	80	24.8	0.00120447
0	80	15.1	0.001223804
0	80	1.6	0.00114575
1	2.5	13.2	5.08427E-05
1	2.5	24.8	3.58047E-05
1	2.5	15.1	3.72369E-05
1	2.5	1.6	3.7953E-05
1	7.5	13.2	4.72622E-05
1	7.5	24.8	5.72875E-05
1	7.5	15.1	5.44231E-05
1	7.5	1.6	4.86944E-05
1	12.5	13.2	6.0868E-05
1	12.5	24.8	0.000111711
1	12.5	15.1	6.73128E-05
1	12.5	1.6	7.6622E-05
1	17.5	13.2	0.000174011
1	17.5	24.8	0.000224137
1	17.5	15.1	0.000160405
1	17.5	1.6	0.000219125
1	22.5	13.2	0.000708217
1	22.5	24.8	0.000776246
1	22.5	15.1	0.00063804
1	22.5	1.6	0.000663103
1	27.5	13.2	0.001548911
1	27.5	24.8	0.001576839
1	27.5	15.1	0.001505229
1	27.5	1.6	0.001407841
1	32.5	13.2	0.004055239
1	32.5	24.8	0.003884809
1	32.5	15.1	0.00370507
1	32.5	1.6	0.003370654
1	37.5	13.2	0.008015238
1	37.5	24.8	0.007958667
1	37.5	15.1	0.007564099
1	37.5	1.6	0.007334949
1	42.5	13.2	0.009728135
1	42.5	24.8	0.0105008
1	42.5	15.1	0.009762507
1	42.5	1.6	0.009753914
1	47.5	13.2	0.012983498
1	47.5	24.8	0.013879331
1	47.5	15.1	0.013134593
1	47.5	1.6	0.012881096
1	52.5	13.2	0.015425378
1	52.5	24.8	0.015957435
1	52.5	15.1	0.015319396
1	52.5	1.6	0.014943446
1	57.5	13.2	0.017986129
1	57.5	24.8	0.018123619
1	57.5	15.1	0.01750205
1	57.5	1.6	0.016904111
1	62.5	13.2	0.015008611
1	62.5	24.8	0.014951324
1	62.5	15.1	0.015240625
1	62.5	1.6	0.014733631
1	67.5	13.2	0.009038537
1	67.5	24.8	0.008879564
1	67.5	15.1	0.009047846
1	67.5	1.6	0.008674761
1	72.5	13.2	0.005841178
1	72.5	24.8	0.005687217
1	72.5	15.1	0.005822559
1	72.5	1.6	0.005463796
1	77.5	13.2	0.00364993
1	77.5	24.8	0.003548961
1	77.5	15.1	0.00349239
1	77.5	1.6	0.003155826
1	80	13.2	0.001942047
1	80	24.8	0.00198358
1	80	15.1	0.001955652
1	80	1.6	0.001819594
