성별	나이	계절(기온)	확률
0	2.5	13.2	0.002777085
0	2.5	24.8	0.003998291
0	2.5	15.1	0.003645815
0	2.5	1.6	0.002705878
0	7.5	13.2	0.008007263
0	7.5	24.8	0.010228932
0	7.5	15.1	0.009698437
0	7.5	1.6	0.008523516
0	12.5	13.2	0.007697511
0	12.5	24.8	0.009349521
0	12.5	15.1	0.009121658
0	12.5	1.6	0.00826717
0	17.5	13.2	0.006565315
0	17.5	24.8	0.007818564
0	17.5	15.1	0.007167017
0	17.5	1.6	0.006971197
0	22.5	13.2	0.005066401
0	22.5	24.8	0.00612383
0	22.5	15.1	0.005924449
0	22.5	1.6	0.005258661
0	27.5	13.2	0.00496315
0	27.5	24.8	0.006116709
0	27.5	15.1	0.005867483
0	27.5	1.6	0.005066401
0	32.5	13.2	0.005579094
0	32.5	24.8	0.006718411
0	32.5	15.1	0.006636522
0	32.5	1.6	0.005436679
0	37.5	13.2	0.006935593
0	37.5	24.8	0.008423826
0	37.5	15.1	0.008138997
0	37.5	1.6	0.006761135
0	42.5	13.2	0.007451846
0	42.5	24.8	0.008815466
0	42.5	15.1	0.009264072
0	42.5	1.6	0.007708192
0	47.5	13.2	0.008801225
0	47.5	24.8	0.010545804
0	47.5	15.1	0.009997508
0	47.5	1.6	0.0087585
0	52.5	13.2	0.009256952
0	52.5	24.8	0.011069178
0	52.5	15.1	0.010827073
0	52.5	1.6	0.009100296
0	57.5	13.2	0.009570264
0	57.5	24.8	0.011727846
0	57.5	15.1	0.011243636
0	57.5	1.6	0.009406487
0	62.5	13.2	0.008957881
0	62.5	24.8	0.010520882
0	62.5	15.1	0.01040695
0	62.5	1.6	0.009288995
0	67.5	13.2	0.006426461
0	67.5	24.8	0.007572898
0	67.5	15.1	0.007758038
0	67.5	1.6	0.00690711
0	72.5	13.2	0.00417987
0	72.5	24.8	0.005077082
0	72.5	15.1	0.004849218
0	72.5	1.6	0.004194111
0	77.5	13.2	0.00253142
0	77.5	24.8	0.003247054
0	77.5	15.1	0.003197209
0	77.5	1.6	0.002695197
0	80	13.2	0.001520276
0	80	24.8	0.001929718
0	80	15.1	0.001797985
0	80	1.6	0.001484673
1	2.5	13.2	0.002705878
1	2.5	24.8	0.003862997
1	2.5	15.1	0.003727703
1	2.5	1.6	0.00263111
1	7.5	13.2	0.007690391
1	7.5	24.8	0.010147043
1	7.5	15.1	0.009862214
1	7.5	1.6	0.008320575
1	12.5	13.2	0.007177698
1	12.5	24.8	0.00866237
1	12.5	15.1	0.008438067
1	12.5	1.6	0.007733115
1	17.5	13.2	0.004261758
1	17.5	24.8	0.005301385
1	17.5	15.1	0.004813615
1	17.5	1.6	0.004421975
1	22.5	13.2	0.004308043
1	22.5	24.8	0.005094884
1	22.5	15.1	0.004906184
1	22.5	1.6	0.004236836
1	27.5	13.2	0.004717485
1	27.5	24.8	0.005771353
1	27.5	15.1	0.005668103
1	27.5	1.6	0.004696123
1	32.5	13.2	0.004728166
1	32.5	24.8	0.005657422
1	32.5	15.1	0.005472283
1	32.5	1.6	0.004518104
1	37.5	13.2	0.006387297
1	37.5	24.8	0.0077794
1	37.5	15.1	0.008131876
1	37.5	1.6	0.006276925
1	42.5	13.2	0.007110051
1	42.5	24.8	0.008797664
1	42.5	15.1	0.009029088
1	42.5	1.6	0.007288069
1	47.5	13.2	0.009484815
1	47.5	24.8	0.011407413
1	47.5	15.1	0.01167088
1	47.5	1.6	0.009734041
1	52.5	13.2	0.012019796
1	52.5	24.8	0.014380318
1	52.5	15.1	0.014836045
1	52.5	1.6	0.012414996
1	57.5	13.2	0.013465304
1	57.5	24.8	0.01585431
1	57.5	15.1	0.016516538
1	57.5	1.6	0.013743013
1	62.5	13.2	0.012852921
1	62.5	24.8	0.015345177
1	62.5	15.1	0.016192545
1	62.5	1.6	0.013607719
1	67.5	13.2	0.009345961
1	67.5	24.8	0.01138249
1	67.5	15.1	0.011727846
1	67.5	1.6	0.009983266
1	72.5	13.2	0.006308969
1	72.5	24.8	0.008313455
1	72.5	15.1	0.00855556
1	72.5	1.6	0.007117172
1	77.5	13.2	0.004482501
1	77.5	24.8	0.005671663
1	77.5	15.1	0.005849681
1	77.5	1.6	0.004649838
1	80	13.2	0.002200306
1	80	24.8	0.002983587
1	80	15.1	0.003029871
1	80	1.6	0.002453092
