성별	나이	계절(기온)	확률
0	2.5	13.2	0
0	2.5	24.8	0
0	2.5	15.1	0
0	2.5	1.6	0
0	7.5	13.2	0.000339559
0	7.5	24.8	0
0	7.5	15.1	0
0	7.5	1.6	0.000339559
0	12.5	13.2	0
0	12.5	24.8	0
0	12.5	15.1	0
0	12.5	1.6	0
0	17.5	13.2	0.001018676
0	17.5	24.8	0.000679117
0	17.5	15.1	0.000339559
0	17.5	1.6	0
0	22.5	13.2	0.000339559
0	22.5	24.8	0.000679117
0	22.5	15.1	0.000339559
0	22.5	1.6	0.001018676
0	27.5	13.2	0.000679117
0	27.5	24.8	0.001358234
0	27.5	15.1	0.000339559
0	27.5	1.6	0.000339559
0	32.5	13.2	0.000679117
0	32.5	24.8	0.000679117
0	32.5	15.1	0
0	32.5	1.6	0.000339559
0	37.5	13.2	0.003395586
0	37.5	24.8	0.001697793
0	37.5	15.1	0.000679117
0	37.5	1.6	0.002037351
0	42.5	13.2	0.000339559
0	42.5	24.8	0.001697793
0	42.5	15.1	0.002716469
0	42.5	1.6	0.001697793
0	47.5	13.2	0.009168081
0	47.5	24.8	0.009168081
0	47.5	15.1	0.008488964
0	47.5	1.6	0.006791171
0	52.5	13.2	0.02139219
0	52.5	24.8	0.020373514
0	52.5	15.1	0.023089983
0	52.5	1.6	0.012563667
0	57.5	13.2	0.035314092
0	57.5	24.8	0.036332767
0	57.5	15.1	0.03327674
0	57.5	1.6	0.021731749
0	62.5	13.2	0.024787776
0	62.5	24.8	0.032937182
0	62.5	15.1	0.027843803
0	62.5	1.6	0.021052632
0	67.5	13.2	0.013242784
0	67.5	24.8	0.021052632
0	67.5	15.1	0.01663837
0	67.5	1.6	0.015959253
0	72.5	13.2	0.009168081
0	72.5	24.8	0.006451613
0	72.5	15.1	0.00950764
0	72.5	1.6	0.00713073
0	77.5	13.2	0.005093379
0	77.5	24.8	0.005432937
0	77.5	15.1	0.007809847
0	77.5	1.6	0.005093379
0	80	13.2	0.00475382
0	80	24.8	0.00475382
0	80	15.1	0.004414261
0	80	1.6	0.001697793
1	2.5	13.2	0
1	2.5	24.8	0
1	2.5	15.1	0
1	2.5	1.6	0
1	7.5	13.2	0
1	7.5	24.8	0
1	7.5	15.1	0
1	7.5	1.6	0
1	12.5	13.2	0
1	12.5	24.8	0.000339559
1	12.5	15.1	0
1	12.5	1.6	0
1	17.5	13.2	0
1	17.5	24.8	0
1	17.5	15.1	0
1	17.5	1.6	0
1	22.5	13.2	0
1	22.5	24.8	0
1	22.5	15.1	0.000339559
1	22.5	1.6	0.000679117
1	27.5	13.2	0
1	27.5	24.8	0.001018676
1	27.5	15.1	0.001018676
1	27.5	1.6	0.001018676
1	32.5	13.2	0
1	32.5	24.8	0.000339559
1	32.5	15.1	0
1	32.5	1.6	0
1	37.5	13.2	0.001018676
1	37.5	24.8	0
1	37.5	15.1	0.000679117
1	37.5	1.6	0
1	42.5	13.2	0.001358234
1	42.5	24.8	0.002037351
1	42.5	15.1	0.003056027
1	42.5	1.6	0.003735144
1	47.5	13.2	0.006451613
1	47.5	24.8	0.007809847
1	47.5	15.1	0.003395586
1	47.5	1.6	0.003735144
1	52.5	13.2	0.025127334
1	52.5	24.8	0.029541596
1	52.5	15.1	0.02614601
1	52.5	1.6	0.017657046
1	57.5	13.2	0.034974533
1	57.5	24.8	0.034634975
1	57.5	15.1	0.028862479
1	57.5	1.6	0.019694397
1	62.5	13.2	0.029202037
1	62.5	24.8	0.029541596
1	62.5	15.1	0.027164686
1	62.5	1.6	0.029202037
1	67.5	13.2	0.012563667
1	67.5	24.8	0.016977929
1	67.5	15.1	0.015959253
1	67.5	1.6	0.013582343
1	72.5	13.2	0.006791171
1	72.5	24.8	0.008488964
1	72.5	15.1	0.005093379
1	72.5	1.6	0.002716469
1	77.5	13.2	0.006112054
1	77.5	24.8	0.005093379
1	77.5	15.1	0.00475382
1	77.5	1.6	0.003395586
1	80	13.2	0.005772496
1	80	24.8	0.005772496
1	80	15.1	0.006791171
1	80	1.6	0.00475382
