성별	나이	계절(기온)	확률
0	2.5	13.2	0.00948779
0	2.5	24.8	0.009618206
0	2.5	15.1	0.010237684
0	2.5	1.6	0.008868312
0	7.5	13.2	0.005379675
0	7.5	24.8	0.005999152
0	7.5	15.1	0.005640507
0	7.5	1.6	0.005314466
0	12.5	13.2	0.003521242
0	12.5	24.8	0.003129993
0	12.5	15.1	0.002510515
0	12.5	1.6	0.002966972
0	17.5	13.2	0.001662809
0	17.5	24.8	0.001760621
0	17.5	15.1	0.001630204
0	17.5	1.6	0.002282286
0	22.5	13.2	0.001793225
0	22.5	24.8	0.001956245
0	22.5	15.1	0.001401976
0	22.5	1.6	0.001793225
0	27.5	13.2	0.001401976
0	27.5	24.8	0.001238955
0	27.5	15.1	0.001336768
0	27.5	1.6	0.001499788
0	32.5	13.2	0.001369372
0	32.5	24.8	0.0015976
0	32.5	15.1	0.001075935
0	32.5	1.6	0.001141143
0	37.5	13.2	0.002282286
0	37.5	24.8	0.001891037
0	37.5	15.1	0.001988849
0	37.5	1.6	0.001923641
0	42.5	13.2	0.001858433
0	42.5	24.8	0.00215187
0	42.5	15.1	0.002249682
0	42.5	1.6	0.002510515
0	47.5	13.2	0.003358221
0	47.5	24.8	0.002966972
0	47.5	15.1	0.003227805
0	47.5	1.6	0.002771348
0	52.5	13.2	0.003716866
0	52.5	24.8	0.004336344
0	52.5	15.1	0.004238532
0	52.5	1.6	0.00446676
0	57.5	13.2	0.006292589
0	57.5	24.8	0.00645561
0	57.5	15.1	0.006683838
0	57.5	1.6	0.006586026
0	62.5	13.2	0.009292165
0	62.5	24.8	0.010042059
0	62.5	15.1	0.009096541
0	62.5	1.6	0.009879039
0	67.5	13.2	0.014378403
0	67.5	24.8	0.012193929
0	67.5	15.1	0.011770076
0	67.5	1.6	0.012911219
0	72.5	13.2	0.020670992
0	72.5	24.8	0.01985589
0	72.5	15.1	0.020703596
0	72.5	1.6	0.018616935
0	77.5	13.2	0.025789834
0	77.5	24.8	0.02575723
0	77.5	15.1	0.026800561
0	77.5	1.6	0.026507124
0	80	13.2	0.025268169
0	80	24.8	0.025659418
0	80	15.1	0.025007336
0	80	1.6	0.02360536
1	2.5	13.2	0.007792377
1	2.5	24.8	0.008085814
1	2.5	15.1	0.007531544
1	2.5	1.6	0.007368524
1	7.5	13.2	0.004042907
1	7.5	24.8	0.004564572
1	7.5	15.1	0.00374947
1	7.5	1.6	0.00374947
1	12.5	13.2	0.001499788
1	12.5	24.8	0.001760621
1	12.5	15.1	0.001793225
1	12.5	1.6	0.002217078
1	17.5	13.2	0.001108539
1	17.5	24.8	0.001467184
1	17.5	15.1	0.000847706
1	17.5	1.6	0.001532392
1	22.5	13.2	0.001173747
1	22.5	24.8	0.001010727
1	22.5	15.1	0.00088031
1	22.5	1.6	0.000619478
1	27.5	13.2	0.000912914
1	27.5	24.8	0.00088031
1	27.5	15.1	0.001238955
1	27.5	1.6	0.001141143
1	32.5	13.2	0.001173747
1	32.5	24.8	0.001043331
1	32.5	15.1	0.000619478
1	32.5	1.6	0.00088031
1	37.5	13.2	0.001467184
1	37.5	24.8	0.001304164
1	37.5	15.1	0.001760621
1	37.5	1.6	0.001238955
1	42.5	13.2	0.001760621
1	42.5	24.8	0.0015976
1	42.5	15.1	0.0015976
1	42.5	1.6	0.001532392
1	47.5	13.2	0.002217078
1	47.5	24.8	0.002217078
1	47.5	15.1	0.002282286
1	47.5	1.6	0.002706139
1	52.5	13.2	0.004075511
1	52.5	24.8	0.003293013
1	52.5	15.1	0.003651658
1	52.5	1.6	0.003325617
1	57.5	13.2	0.005477487
1	57.5	24.8	0.005542695
1	57.5	15.1	0.006096965
1	57.5	1.6	0.004760197
1	62.5	13.2	0.009292165
1	62.5	24.8	0.008835708
1	62.5	15.1	0.007922794
1	62.5	1.6	0.008085814
1	67.5	13.2	0.009748622
1	67.5	24.8	0.009422582
1	67.5	15.1	0.009813831
1	67.5	1.6	0.010107267
1	72.5	13.2	0.016432461
1	72.5	24.8	0.018030061
1	72.5	15.1	0.017149751
1	72.5	1.6	0.017410583
1	77.5	13.2	0.02360536
1	77.5	24.8	0.02217078
1	77.5	15.1	0.022366405
1	77.5	1.6	0.02200776
1	80	13.2	0.024257442
1	80	24.8	0.02503994
1	80	15.1	0.023637964
1	80	1.6	0.023898797
