성별	나이	계절(기온)	확률
0	2.5	13.2	0
0	2.5	24.8	0
0	2.5	15.1	0
0	2.5	1.6	0
0	7.5	13.2	0
0	7.5	24.8	0
0	7.5	15.1	0
0	7.5	1.6	0
0	12.5	13.2	0
0	12.5	24.8	0
0	12.5	15.1	0
0	12.5	1.6	0
0	17.5	13.2	0
0	17.5	24.8	0
0	17.5	15.1	0
0	17.5	1.6	0
0	22.5	13.2	0
0	22.5	24.8	0
0	22.5	15.1	0
0	22.5	1.6	0
0	27.5	13.2	0
0	27.5	24.8	5.01E-06
0	27.5	15.1	0
0	27.5	1.6	0
0	32.5	13.2	0
0	32.5	24.8	5.01E-06
0	32.5	15.1	0
0	32.5	1.6	5.01E-06
0	37.5	13.2	1.50E-05
0	37.5	24.8	2.51E-05
0	37.5	15.1	1.50E-05
0	37.5	1.6	1.50E-05
0	42.5	13.2	5.01E-06
0	42.5	24.8	1.00E-05
0	42.5	15.1	2.51E-05
0	42.5	1.6	1.50E-05
0	47.5	13.2	7.02E-05
0	47.5	24.8	6.52E-05
0	47.5	15.1	4.01E-05
0	47.5	1.6	4.51E-05
0	52.5	13.2	0.000170459
0	52.5	24.8	0.000250674
0	52.5	15.1	0.000320863
0	52.5	1.6	0.000320863
0	57.5	13.2	0.00086232
0	57.5	24.8	0.000997684
0	57.5	15.1	0.001012724
0	57.5	1.6	0.001012724
0	62.5	13.2	0.002451595
0	62.5	24.8	0.002601999
0	62.5	15.1	0.002541838
0	62.5	1.6	0.0024165
0	67.5	13.2	0.004341679
0	67.5	24.8	0.004411868
0	67.5	15.1	0.004411868
0	67.5	1.6	0.004411868
0	72.5	13.2	0.008392576
0	72.5	24.8	0.008613169
0	72.5	15.1	0.008683358
0	72.5	1.6	0.008222117
0	77.5	13.2	0.017647472
0	77.5	24.8	0.017532162
0	77.5	15.1	0.017627418
0	77.5	1.6	0.017251406
0	80	13.2	0.03376583
0	80	24.8	0.035696022
0	80	15.1	0.037104812
0	80	1.6	0.037836781
1	2.5	13.2	0
1	2.5	24.8	0
1	2.5	15.1	0
1	2.5	1.6	0
1	7.5	13.2	0
1	7.5	24.8	0
1	7.5	15.1	0
1	7.5	1.6	0
1	12.5	13.2	0
1	12.5	24.8	0
1	12.5	15.1	0
1	12.5	1.6	0
1	17.5	13.2	0
1	17.5	24.8	0
1	17.5	15.1	0
1	17.5	1.6	0
1	22.5	13.2	5.01E-06
1	22.5	24.8	0
1	22.5	15.1	0
1	22.5	1.6	0
1	27.5	13.2	0
1	27.5	24.8	0
1	27.5	15.1	5.01E-06
1	27.5	1.6	0
1	32.5	13.2	1.00E-05
1	32.5	24.8	5.01E-06
1	32.5	15.1	0
1	32.5	1.6	5.01E-06
1	37.5	13.2	0
1	37.5	24.8	5.01E-06
1	37.5	15.1	5.01E-06
1	37.5	1.6	0
1	42.5	13.2	1.50E-05
1	42.5	24.8	5.01E-06
1	42.5	15.1	5.01E-06
1	42.5	1.6	5.01E-06
1	47.5	13.2	0.000110297
1	47.5	24.8	0.00010027
1	47.5	15.1	7.02E-05
1	47.5	1.6	9.53E-05
1	52.5	13.2	5.92E-05
1	52.5	24.8	0.000566524
1	52.5	15.1	0.000526416
1	52.5	1.6	0.00056151
1	57.5	13.2	0.001714612
1	57.5	24.8	0.001764747
1	57.5	15.1	0.001759734
1	57.5	1.6	0.001569221
1	62.5	13.2	0.004005776
1	62.5	24.8	0.003885452
1	62.5	15.1	0.003855371
1	62.5	1.6	0.003654831
1	67.5	13.2	0.007179312
1	67.5	24.8	0.006973759
1	67.5	15.1	0.007069016
1	67.5	1.6	0.007023894
1	72.5	13.2	0.016018089
1	72.5	24.8	0.01563205
1	72.5	15.1	0.015907792
1	72.5	1.6	0.015662131
1	77.5	13.2	0.039180395
1	77.5	24.8	0.03923053
1	77.5	15.1	0.039636623
1	77.5	1.6	0.038648966
1	80	13.2	0.10586979
1	80	24.8	0.109950768
1	80	15.1	0.113590559
1	80	1.6	0.116688893
