성별	나이	계절(기온)	확률
0	2.5	13.2	0.042348412
0	2.5	24.8	0.037536092
0	2.5	15.1	0.041385948
0	2.5	1.6	0.038498556
0	7.5	13.2	0.002887392
0	7.5	24.8	0.00481232
0	7.5	15.1	0.00481232
0	7.5	1.6	0.00481232
0	12.5	13.2	0.005774783
0	12.5	24.8	0.000962464
0	12.5	15.1	0.00481232
0	12.5	1.6	0.005774783
0	17.5	13.2	0.003849856
0	17.5	24.8	0.002887392
0	17.5	15.1	0.005774783
0	17.5	1.6	0.00481232
0	22.5	13.2	0.001924928
0	22.5	24.8	0.000962464
0	22.5	15.1	0.002887392
0	22.5	1.6	0.009624639
0	27.5	13.2	0.003849856
0	27.5	24.8	0
0	27.5	15.1	0.001924928
0	27.5	1.6	0.007699711
0	32.5	13.2	0.001924928
0	32.5	24.8	0.000962464
0	32.5	15.1	0.006737247
0	32.5	1.6	0.007699711
0	37.5	13.2	0.001924928
0	37.5	24.8	0.002887392
0	37.5	15.1	0.001924928
0	37.5	1.6	0.005774783
0	42.5	13.2	0.009624639
0	42.5	24.8	0.001924928
0	42.5	15.1	0.009624639
0	42.5	1.6	0.002887392
0	47.5	13.2	0.007699711
0	47.5	24.8	0.002887392
0	47.5	15.1	0.000962464
0	47.5	1.6	0.009624639
0	52.5	13.2	0.015399423
0	52.5	24.8	0.002887392
0	52.5	15.1	0.003849856
0	52.5	1.6	0.016361886
0	57.5	13.2	0.007699711
0	57.5	24.8	0.002887392
0	57.5	15.1	0.011549567
0	57.5	1.6	0.009624639
0	62.5	13.2	0.010587103
0	62.5	24.8	0.010587103
0	62.5	15.1	0.011549567
0	62.5	1.6	0.01732435
0	67.5	13.2	0.007699711
0	67.5	24.8	0.002887392
0	67.5	15.1	0.005774783
0	67.5	1.6	0.013474495
0	72.5	13.2	0.007699711
0	72.5	24.8	0.00481232
0	72.5	15.1	0.009624639
0	72.5	1.6	0.007699711
0	77.5	13.2	0.013474495
0	77.5	24.8	0.003849856
0	77.5	15.1	0.012512031
0	77.5	1.6	0.016361886
0	80	13.2	0.02213667
0	80	24.8	0.00481232
0	80	15.1	0.014436959
0	80	1.6	0.030798845
1	2.5	13.2	0.030798845
1	2.5	24.8	0.026948989
1	2.5	15.1	0.036573628
1	2.5	1.6	0.024061598
1	7.5	13.2	0.001924928
1	7.5	24.8	0.001924928
1	7.5	15.1	0.002887392
1	7.5	1.6	0.003849856
1	12.5	13.2	0.000962464
1	12.5	24.8	0.000962464
1	12.5	15.1	0.000962464
1	12.5	1.6	0.002887392
1	17.5	13.2	0.003849856
1	17.5	24.8	0.000962464
1	17.5	15.1	0.00481232
1	17.5	1.6	0.002887392
1	22.5	13.2	0.002887392
1	22.5	24.8	0.001924928
1	22.5	15.1	0.001924928
1	22.5	1.6	0.001924928
1	27.5	13.2	0.003849856
1	27.5	24.8	0.000962464
1	27.5	15.1	0.000962464
1	27.5	1.6	0.00481232
1	32.5	13.2	0.000962464
1	32.5	24.8	0
1	32.5	15.1	0.000962464
1	32.5	1.6	0.002887392
1	37.5	13.2	0.001924928
1	37.5	24.8	0.000962464
1	37.5	15.1	0.000962464
1	37.5	1.6	0.000962464
1	42.5	13.2	0.000962464
1	42.5	24.8	0.000962464
1	42.5	15.1	0.000962464
1	42.5	1.6	0.000962464
1	47.5	13.2	0.002887392
1	47.5	24.8	0.002887392
1	47.5	15.1	0.000962464
1	47.5	1.6	0.003849856
1	52.5	13.2	0.002887392
1	52.5	24.8	0.002887392
1	52.5	15.1	0
1	52.5	1.6	0.003849856
1	57.5	13.2	0.00481232
1	57.5	24.8	0.002887392
1	57.5	15.1	0.005774783
1	57.5	1.6	0.00481232
1	62.5	13.2	0.005774783
1	62.5	24.8	0.002887392
1	62.5	15.1	0.001924928
1	62.5	1.6	0.005774783
1	67.5	13.2	0.005774783
1	67.5	24.8	0.000962464
1	67.5	15.1	0.006737247
1	67.5	1.6	0.00481232
1	72.5	13.2	0.00481232
1	72.5	24.8	0.003849856
1	72.5	15.1	0.003849856
1	72.5	1.6	0.005774783
1	77.5	13.2	0.006737247
1	77.5	24.8	0.002887392
1	77.5	15.1	0.006737247
1	77.5	1.6	0.014436959
1	80	13.2	0.018286814
1	80	24.8	0.00481232
1	80	15.1	0.025986526
1	80	1.6	0.034648701
