성별	나이	계절(기온)	확률
0	2.5	13.2	0
0	2.5	24.8	0
0	2.5	15.1	0
0	2.5	1.6	0
0	7.5	13.2	0
0	7.5	24.8	0
0	7.5	15.1	0
0	7.5	1.6	0
0	12.5	13.2	1.45E-06
0	12.5	24.8	3.61E-07
0	12.5	15.1	3.61E-07
0	12.5	1.6	0
0	17.5	13.2	0
0	17.5	24.8	0
0	17.5	15.1	3.61E-07
0	17.5	1.6	3.61E-07
0	22.5	13.2	1.45E-06
0	22.5	24.8	1.81E-06
0	22.5	15.1	1.45E-06
0	22.5	1.6	2.89E-06
0	27.5	13.2	1.81E-06
0	27.5	24.8	1.08E-06
0	27.5	15.1	3.61E-06
0	27.5	1.6	1.45E-06
0	32.5	13.2	3.61E-06
0	32.5	24.8	1.81E-06
0	32.5	15.1	1.45E-06
0	32.5	1.6	2.17E-06
0	37.5	13.2	2.53E-06
0	37.5	24.8	3.97E-06
0	37.5	15.1	3.61E-06
0	37.5	1.6	4.70E-06
0	42.5	13.2	1.30E-05
0	42.5	24.8	1.59E-05
0	42.5	15.1	1.73E-05
0	42.5	1.6	1.66E-05
0	47.5	13.2	3.04E-05
0	47.5	24.8	3.69E-05
0	47.5	15.1	3.97E-05
0	47.5	1.6	3.72E-05
0	52.5	13.2	0.000114536
0	52.5	24.8	0.000130073
0	52.5	15.1	0.000133325
0	52.5	1.6	0.000127544
0	57.5	13.2	0.000509452
0	57.5	24.8	0.000536912
0	57.5	15.1	0.000570875
0	57.5	1.6	0.000537273
0	62.5	13.2	0.001364681
0	62.5	24.8	0.001469462
0	62.5	15.1	0.001504871
0	62.5	1.6	0.001540641
0	67.5	13.2	0.003253629
0	67.5	24.8	0.003413691
0	67.5	15.1	0.003483424
0	67.5	1.6	0.003500045
0	72.5	13.2	0.006940834
0	72.5	24.8	0.007219045
0	72.5	15.1	0.007391753
0	72.5	1.6	0.007408012
0	77.5	13.2	0.014359324
0	77.5	24.8	0.014899488
0	77.5	15.1	0.015216721
0	77.5	1.6	0.015059911
0	80	13.2	0.033052966
0	80	24.8	0.035142804
0	80	15.1	0.036781722
0	80	1.6	0.037489174
1	2.5	13.2	0
1	2.5	24.8	0
1	2.5	15.1	0
1	2.5	1.6	0
1	7.5	13.2	0
1	7.5	24.8	0
1	7.5	15.1	0
1	7.5	1.6	0
1	12.5	13.2	0
1	12.5	24.8	3.61E-07
1	12.5	15.1	0
1	12.5	1.6	0
1	17.5	13.2	0
1	17.5	24.8	0
1	17.5	15.1	0
1	17.5	1.6	0
1	22.5	13.2	1.81E-06
1	22.5	24.8	1.08E-06
1	22.5	15.1	7.23E-07
1	22.5	1.6	1.08E-06
1	27.5	13.2	7.23E-07
1	27.5	24.8	2.17E-06
1	27.5	15.1	1.45E-06
1	27.5	1.6	3.25E-06
1	32.5	13.2	1.81E-06
1	32.5	24.8	7.23E-07
1	32.5	15.1	1.08E-06
1	32.5	1.6	7.23E-07
1	37.5	13.2	6.50E-06
1	37.5	24.8	3.97E-06
1	37.5	15.1	4.70E-06
1	37.5	1.6	3.97E-06
1	42.5	13.2	1.16E-05
1	42.5	24.8	1.19E-05
1	42.5	15.1	1.01E-05
1	42.5	1.6	8.67E-06
1	47.5	13.2	4.19E-05
1	47.5	24.8	3.47E-05
1	47.5	15.1	3.79E-05
1	47.5	1.6	3.90E-05
1	52.5	13.2	0.000169817
1	52.5	24.8	0.000170179
1	52.5	15.1	0.000182102
1	52.5	1.6	0.000180657
1	57.5	13.2	0.00061604
1	57.5	24.8	0.000643138
1	57.5	15.1	0.000647835
1	57.5	1.6	0.000604116
1	62.5	13.2	0.001699619
1	62.5	24.8	0.001737557
1	62.5	15.1	0.001797535
1	62.5	1.6	0.001770798
1	67.5	13.2	0.004405496
1	67.5	24.8	0.004457164
1	67.5	15.1	0.004488599
1	67.5	1.6	0.004456442
1	72.5	13.2	0.011260338
1	72.5	24.8	0.011526987
1	72.5	15.1	0.011686326
1	72.5	1.6	0.011572151
1	77.5	13.2	0.031871109
1	77.5	24.8	0.032840152
1	77.5	15.1	0.033398743
1	77.5	1.6	0.032807273
1	80	13.2	0.127475766
1	80	24.8	0.133505728
1	80	15.1	0.139041052
1	80	1.6	0.141861105
