성별	나이	계절(기온)	확률
0	2.5	13.2	0.000441237
0	2.5	24.8	0.000563686
0	2.5	15.1	0.000451793
0	2.5	1.6	0.000426459
0	7.5	13.2	0.001444049
0	7.5	24.8	0.001813507
0	7.5	15.1	0.001568609
0	7.5	1.6	0.001387047
0	12.5	13.2	0.002915544
0	12.5	24.8	0.003546788
0	12.5	15.1	0.003073883
0	12.5	1.6	0.002769873
0	17.5	13.2	0.006217435
0	17.5	24.8	0.007049241
0	17.5	15.1	0.006671339
0	17.5	1.6	0.00642222
0	22.5	13.2	0.010380689
0	22.5	24.8	0.011269497
0	22.5	15.1	0.010334243
0	22.5	1.6	0.009506659
0	27.5	13.2	0.016707905
0	27.5	24.8	0.018398963
0	27.5	15.1	0.017035139
0	27.5	1.6	0.016085106
0	32.5	13.2	0.016925357
0	32.5	24.8	0.018130843
0	32.5	15.1	0.016819798
0	32.5	1.6	0.015531976
0	37.5	13.2	0.020176579
0	37.5	24.8	0.021631185
0	37.5	15.1	0.01975012
0	37.5	1.6	0.017919724
0	42.5	13.2	0.016978137
0	42.5	24.8	0.018149843
0	42.5	15.1	0.016653014
0	42.5	1.6	0.014955623
0	47.5	13.2	0.01644823
0	47.5	24.8	0.017622048
0	47.5	15.1	0.016167442
0	47.5	1.6	0.014541831
0	52.5	13.2	0.0126671
0	52.5	24.8	0.01341657
0	52.5	15.1	0.012810661
0	52.5	1.6	0.011510172
0	57.5	13.2	0.009356765
0	57.5	24.8	0.01009779
0	57.5	15.1	0.009424323
0	57.5	1.6	0.008501735
0	62.5	13.2	0.005451075
0	62.5	24.8	0.005951426
0	62.5	15.1	0.005402518
0	62.5	1.6	0.005109064
0	67.5	13.2	0.002377192
0	67.5	24.8	0.002704426
0	67.5	15.1	0.002581977
0	67.5	1.6	0.00233708
0	72.5	13.2	0.001167484
0	72.5	24.8	0.001205486
0	72.5	15.1	0.001140039
0	72.5	1.6	0.001169596
0	77.5	13.2	0.000487683
0	77.5	24.8	0.000559464
0	77.5	15.1	0.000582687
0	77.5	1.6	0.000485572
0	80	13.2	0.000185784
0	80	24.8	0.00023223
0	80	15.1	0.000223785
0	80	1.6	0.00019634
1	2.5	13.2	0.000648133
1	2.5	24.8	0.000878252
1	2.5	15.1	0.000760026
1	2.5	1.6	0.00050035
1	7.5	13.2	0.001910621
1	7.5	24.8	0.002484863
1	7.5	15.1	0.002286412
1	7.5	1.6	0.001691058
1	12.5	13.2	0.002590422
1	12.5	24.8	0.002898655
1	12.5	15.1	0.002512308
1	12.5	1.6	0.00237297
1	17.5	13.2	0.003920468
1	17.5	24.8	0.004568601
1	17.5	15.1	0.003909912
1	17.5	1.6	0.003785352
1	22.5	13.2	0.007545369
1	22.5	24.8	0.008356064
1	22.5	15.1	0.007615038
1	22.5	1.6	0.0071548
1	27.5	13.2	0.009960563
1	27.5	24.8	0.011172382
1	27.5	15.1	0.010748034
1	27.5	1.6	0.009517215
1	32.5	13.2	0.009314541
1	32.5	24.8	0.009751556
1	32.5	15.1	0.009004197
1	32.5	1.6	0.008172391
1	37.5	13.2	0.011377167
1	37.5	24.8	0.0123462
1	37.5	15.1	0.011539728
1	37.5	1.6	0.010372244
1	42.5	13.2	0.011782514
1	42.5	24.8	0.01252354
1	42.5	15.1	0.011780403
1	42.5	1.6	0.010520027
1	47.5	13.2	0.014761394
1	47.5	24.8	0.015071738
1	47.5	15.1	0.014128039
1	47.5	1.6	0.012838106
1	52.5	13.2	0.013028113
1	52.5	24.8	0.013600243
1	52.5	15.1	0.013492573
1	52.5	1.6	0.012234308
1	57.5	13.2	0.010494692
1	57.5	24.8	0.010604474
1	57.5	15.1	0.010416579
1	57.5	1.6	0.009523548
1	62.5	13.2	0.007089354
1	62.5	24.8	0.007313139
1	62.5	15.1	0.00724347
1	62.5	1.6	0.006631227
1	67.5	13.2	0.003342003
1	67.5	24.8	0.003426451
1	67.5	15.1	0.003253334
1	67.5	1.6	0.003170997
1	72.5	13.2	0.00174806
1	72.5	24.8	0.001760727
1	72.5	15.1	0.001680502
1	72.5	1.6	0.001636167
1	77.5	13.2	0.000943699
1	77.5	24.8	0.000939477
1	77.5	15.1	0.000947921
1	77.5	1.6	0.000724136
1	80	13.2	0.000337789
1	80	24.8	0.000369457
1	80	15.1	0.000411681
1	80	1.6	0.000331456
