성별	나이	계절(기온)	확률
0	2.5	13.2	0
0	2.5	24.8	0
0	2.5	15.1	0
0	2.5	1.6	0
0	7.5	13.2	0
0	7.5	24.8	0
0	7.5	15.1	0
0	7.5	1.6	0
0	12.5	13.2	0
0	12.5	24.8	0
0	12.5	15.1	0
0	12.5	1.6	0
0	17.5	13.2	0
0	17.5	24.8	0
0	17.5	15.1	0
0	17.5	1.6	0
0	22.5	13.2	0
0	22.5	24.8	0
0	22.5	15.1	0
0	22.5	1.6	0
0	27.5	13.2	0
0	27.5	24.8	0
0	27.5	15.1	0
0	27.5	1.6	0
0	32.5	13.2	0
0	32.5	24.8	0
0	32.5	15.1	0
0	32.5	1.6	0
0	37.5	13.2	0
0	37.5	24.8	0
0	37.5	15.1	0
0	37.5	1.6	0
0	42.5	13.2	0
0	42.5	24.8	0
0	42.5	15.1	0
0	42.5	1.6	0
0	47.5	13.2	0
0	47.5	24.8	0
0	47.5	15.1	0
0	47.5	1.6	0
0	52.5	13.2	0
0	52.5	24.8	0
0	52.5	15.1	0
0	52.5	1.6	0
0	57.5	13.2	0
0	57.5	24.8	0
0	57.5	15.1	0
0	57.5	1.6	0
0	62.5	13.2	0
0	62.5	24.8	0
0	62.5	15.1	0
0	62.5	1.6	0
0	67.5	13.2	0
0	67.5	24.8	0
0	67.5	15.1	0
0	67.5	1.6	0
0	72.5	13.2	0
0	72.5	24.8	0
0	72.5	15.1	0
0	72.5	1.6	0
0	77.5	13.2	0
0	77.5	24.8	0
0	77.5	15.1	0
0	77.5	1.6	0
0	80	13.2	0
0	80	24.8	0
0	80	15.1	0
0	80	1.6	0
1	2.5	13.2	0
1	2.5	24.8	0
1	2.5	15.1	0
1	2.5	1.6	0
1	7.5	13.2	0
1	7.5	24.8	0
1	7.5	15.1	0
1	7.5	1.6	0
1	12.5	13.2	0
1	12.5	24.8	0
1	12.5	15.1	0
1	12.5	1.6	0
1	17.5	13.2	0
1	17.5	24.8	0
1	17.5	15.1	0
1	17.5	1.6	0
1	22.5	13.2	2.73E-05
1	22.5	24.8	3.62E-05
1	22.5	15.1	2.46E-05
1	22.5	1.6	2.57E-05
1	27.5	13.2	6.45E-05
1	27.5	24.8	6.87E-05
1	27.5	15.1	7.34E-05
1	27.5	1.6	6.24E-05
1	32.5	13.2	0.000152514
1	32.5	24.8	0.000145701
1	32.5	15.1	0.000142556
1	32.5	1.6	0.000128929
1	37.5	13.2	0.000581231
1	37.5	24.8	0.000590664
1	37.5	15.1	0.000578086
1	37.5	1.6	0.000537206
1	42.5	13.2	0.003927106
1	42.5	24.8	0.004063372
1	42.5	15.1	0.003996287
1	42.5	1.6	0.003697024
1	47.5	13.2	0.026079378
1	47.5	24.8	0.026408514
1	47.5	15.1	0.025485044
1	47.5	1.6	0.023948898
1	52.5	13.2	0.069139176
1	52.5	24.8	0.070512327
1	52.5	15.1	0.069120308
1	52.5	1.6	0.066571594
1	57.5	13.2	0.075545814
1	57.5	24.8	0.07496406
1	57.5	15.1	0.073785876
1	57.5	1.6	0.071506551
1	62.5	13.2	0.043618493
1	62.5	24.8	0.043706018
1	62.5	15.1	0.044210729
1	62.5	1.6	0.043888406
1	67.5	13.2	0.019279138
1	67.5	24.8	0.019081027
1	67.5	15.1	0.019200522
1	67.5	1.6	0.019051153
1	72.5	13.2	0.008857869
1	72.5	24.8	0.008668144
1	72.5	15.1	0.00902401
1	72.5	1.6	0.008598962
1	77.5	13.2	0.003850062
1	77.5	24.8	0.003753103
1	77.5	15.1	0.003733187
1	77.5	1.6	0.003502582
1	80	13.2	0.001716962
1	80	24.8	0.001581219
1	80	15.1	0.001667697
1	80	1.6	0.001516231
